step,phase,ee_x,ee_y,ee_z,joint_base,joint_shoulder,joint_elbow,joint_wrist_pitch,joint_wrist_roll,joint_left_finger,joint_right_finger
15,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
16,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
17,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
18,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
19,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
20,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
21,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
22,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
23,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
24,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
25,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
26,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
27,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
28,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
29,warmup,-0.07981960475444794,-0.004255905747413635,0.33332327008247375,0.053269073367118835,0.00821051374077797,-1.0629284381866455,0.009990015998482704,-0.029385413974523544,0.25281864404678345,-0.25316932797431946
30,joint0_pos,-0.08004485070705414,-0.004238664172589779,0.33339494466781616,0.052904583513736725,0.0051482622511684895,-1.0569746494293213,0.006216195411980152,-0.025243930518627167,0.25645676255226135,-0.2531704604625702
31,joint0_pos,-0.08019666373729706,-0.004222968127578497,0.3334372937679291,0.052609313279390335,0.0031199876684695482,-1.0530585050582886,0.0036635955329984426,-0.020921794697642326,0.2588331401348114,-0.25339093804359436
32,joint0_pos,-0.08029918372631073,-0.004210302606225014,0.3334640860557556,0.05238526314496994,0.001760778366588056,-1.0504446029663086,0.0019409623928368092,-0.0164042878895998,0.2602517902851105,-0.254012793302536
33,joint0_pos,-0.08036589622497559,-0.0042011551558971405,0.3334828019142151,0.05222804471850395,0.0008675395511090755,-1.0487251281738281,0.0008323763031512499,-0.011661107651889324,0.2608928680419922,-0.2551514506340027
34,joint0_pos,-0.0804048478603363,-0.004195310175418854,0.3334978222846985,0.05213030427694321,0.00031815128750167787,-1.047654628753662,0.00021019938867539167,-0.006659299600869417,0.2608669400215149,-0.2568899095058441
35,joint0_pos,-0.08042106032371521,-0.004192833323031664,0.3335121273994446,0.052089154720306396,3.547592132235877e-05,-1.0470792055130005,-3.936583198083099e-06,-0.0013720213901251554,0.26024386286735535,-0.25928935408592224
36,joint0_pos,-0.0803941935300827,-0.004694979637861252,0.33351585268974304,0.05833333358168602,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
37,joint0_pos,-0.08035227656364441,-0.00536474771797657,0.33351582288742065,0.06666667014360428,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
38,joint0_pos,-0.08030477911233902,-0.0060341618955135345,0.33351585268974304,0.07500000298023224,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
39,joint0_pos,-0.08025170862674713,-0.006703124847263098,0.33351582288742065,0.0833333358168602,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
40,joint0_pos,-0.08019305765628815,-0.007371662650257349,0.33351582288742065,0.09166666865348816,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
41,joint0_pos,-0.08012885600328445,-0.008039668202400208,0.33351585268974304,0.10000000149011612,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
42,joint0_pos,-0.08005906641483307,-0.008707144297659397,0.33351585268974304,0.10833333432674408,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
43,joint0_pos,-0.07998374104499817,-0.009373974055051804,0.33351585268974304,0.11666666716337204,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
44,joint0_pos,-0.07990285009145737,-0.01004017423838377,0.33351588249206543,0.125,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
45,joint0_pos,-0.07981640100479126,-0.010705651715397835,0.33351585268974304,0.13333334028720856,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
46,joint0_pos,-0.07972441613674164,-0.01137043721973896,0.33351585268974304,0.14166668057441711,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
47,joint0_pos,-0.0796269029378891,-0.012034398503601551,0.33351585268974304,0.15000002086162567,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
48,joint0_pos,-0.07952384650707245,-0.012697567231953144,0.33351585268974304,0.15833336114883423,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
49,joint0_pos,-0.07941527664661407,-0.013359801843762398,0.33351582288742065,0.16666670143604279,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
50,joint0_pos,-0.07930117845535278,-0.014021126553416252,0.33351582288742065,0.17500004172325134,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
51,joint0_pos,-0.07918158173561096,-0.014681448228657246,0.33351582288742065,0.1833333820104599,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
52,joint0_pos,-0.0790565013885498,-0.01534079760313034,0.33351585268974304,0.19166672229766846,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
53,joint0_pos,-0.07892591506242752,-0.015999045222997665,0.33351585268974304,0.20000006258487701,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
54,joint0_pos,-0.0787898451089859,-0.016656218096613884,0.33351588249206543,0.20833340287208557,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
55,joint0_pos,-0.07864830642938614,-0.017312193289399147,0.33351585268974304,0.21666674315929413,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
56,joint0_pos,-0.07850132882595062,-0.017966963350772858,0.33351585268974304,0.22500008344650269,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
57,joint0_pos,-0.07834887504577637,-0.018620528280735016,0.33351588249206543,0.23333342373371124,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
58,joint0_pos,-0.07819097489118576,-0.01927279122173786,0.33351582288742065,0.2416667640209198,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
59,joint0_pos,-0.0780276507139206,-0.019923724234104156,0.33351585268974304,0.25000008940696716,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
60,joint0_pos,-0.07785891741514206,-0.020573249086737633,0.33351588249206543,0.2583334147930145,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
61,joint0_pos,-0.07768476009368896,-0.021221362054347992,0.33351582288742065,0.2666667401790619,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
62,joint0_pos,-0.07750522345304489,-0.021867960691452026,0.33351585268974304,0.27500006556510925,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
63,joint0_pos,-0.07732030749320984,-0.022513078525662422,0.33351585268974304,0.2833333909511566,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
64,joint0_pos,-0.077130027115345,-0.02315662056207657,0.33351585268974304,0.291666716337204,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
65,joint0_pos,-0.07693436741828918,-0.02379857935011387,0.33351585268974304,0.30000004172325134,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
66,joint0_pos,-0.07673337310552597,-0.024438856169581413,0.33351585268974304,0.3083333671092987,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
67,joint0_pos,-0.07652705907821655,-0.0250774584710598,0.33351585268974304,0.31666669249534607,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
68,joint0_pos,-0.07631543278694153,-0.02571428380906582,0.33351585268974304,0.32500001788139343,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
69,joint0_pos,-0.0760984942317009,-0.026349328458309174,0.33351582288742065,0.3333333432674408,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
70,joint0_pos,-0.07587626576423645,-0.026982596144080162,0.33351585268974304,0.34166666865348816,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
71,joint0_pos,-0.07564879953861237,-0.02761392667889595,0.33351585268974304,0.3499999940395355,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
72,joint0_pos,-0.07541604340076447,-0.028243379667401314,0.33351588249206543,0.3583333194255829,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
73,joint0_pos,-0.07517809420824051,-0.028870834037661552,0.33351585268974304,0.36666664481163025,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
74,joint0_pos,-0.07493487745523453,-0.029496314004063606,0.33351582288742065,0.3749999701976776,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
75,joint0_neg,-0.07517809420824051,-0.028870834037661552,0.33351585268974304,0.36666664481163025,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
76,joint0_neg,-0.07541604340076447,-0.028243379667401314,0.33351588249206543,0.3583333194255829,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
77,joint0_neg,-0.07564879953861237,-0.02761392667889595,0.33351585268974304,0.3499999940395355,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
78,joint0_neg,-0.07587626576423645,-0.026982596144080162,0.33351585268974304,0.34166666865348816,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
79,joint0_neg,-0.0760984942317009,-0.026349328458309174,0.33351582288742065,0.3333333432674408,0.0,-1.0470000505447388,0.0,0.0,0.25999999046325684,-0.25999999046325684
